Title:;ARCHIVE Financial Year - Monthly counts of E. coli bacteraemia by Acute Trust;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Reporting Period:;April 2014 to March 2015;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
No. of months:;12 months;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Publication date:;September 2015;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Trust Code;Trust Type;PHE Centre;Trust Name;April 2014;May 2014;June 2014;July 2014;August 2014;September 2014;October 2014;November 2014;December 2014;January 2015;February 2015;March 2015;Trust Name
;;;Totals;2873;3025;2988;3207;3234;3035;3085;2907;2855;2858;2691;2918;Totals
;;;;;;;;;;;;;;;;
REM;FT;Cheshire and Merseyside;Aintree University Hospital;26;29;33;37;27;28;24;24;15;20;35;24;Aintree University Hospital
RCF;FT;Yorkshire and Humber;Airedale;8;5;12;9;6;19;15;9;11;11;8;13;Airedale
RBS;FT;Cheshire and Merseyside;Alder Hey Children's;1;3;0;2;6;1;3;3;2;1;1;1;Alder Hey Children's
RTK;FT;Kent, Surrey and Sussex;Ashford & St Peter's Hospitals;13;26;15;16;20;23;12;20;21;19;18;16;Ashford & St Peter's Hospitals
RF4;--;London;Barking, Havering & Redbridge University Hospitals;33;29;54;41;45;35;32;45;44;38;32;38;Barking, Havering & Redbridge University Hospitals
RFF;FT;Yorkshire and Humber;Barnsley Hospital;11;15;13;20;15;17;9;15;17;24;14;7;Barnsley Hospital
R1H;--;London;Barts Health;39;56;40;65;61;58;53;46;43;56;48;60;Barts Health
RDD;FT;Anglia and Essex;Basildon & Thurrock University Hospitals;15;15;16;18;21;14;18;25;22;12;23;13;Basildon & Thurrock University Hospitals
RC1;--;South Midlands and Hertfordshire;Bedford Hospital;11;9;11;12;16;19;14;10;14;11;6;13;Bedford Hospital
RQ3;FT;West Midlands;Birmingham Children's Hospital;3;2;5;0;2;3;0;3;1;1;4;1;Birmingham Children's Hospital
RLU;FT;West Midlands;Birmingham Women's;1;2;1;1;2;1;1;1;1;1;2;0;Birmingham Women's
RXL;FT;Cumbria and Lancashire;Blackpool Teaching Hospitals;19;29;21;28;13;31;23;26;18;20;24;22;Blackpool Teaching Hospitals
RMC;FT;Greater Manchester;Bolton;18;19;21;24;16;13;12;13;26;29;14;14;Bolton
RAE;FT;Yorkshire and Humber;Bradford Teaching Hospitals;24;19;26;18;25;22;17;21;9;16;13;27;Bradford Teaching Hospitals
RXH;--;Kent, Surrey and Sussex;Brighton & Sussex University Hospitals;19;14;26;29;27;23;24;18;30;15;11;23;Brighton & Sussex University Hospitals
RXQ;--;Thames Valley;Buckinghamshire Healthcare;20;19;21;17;21;17;30;16;24;9;19;22;Buckinghamshire Healthcare
RJF;FT;West Midlands;Burton Hospitals;17;11;16;15;11;13;14;23;17;13;12;10;Burton Hospitals
RWY;FT;Yorkshire and Humber;Calderdale & Huddersfield;23;24;19;21;12;19;27;22;21;22;26;26;Calderdale & Huddersfield
RGT;FT;Anglia and Essex;Cambridge University Hospitals;23;22;23;31;19;23;24;27;18;36;18;22;Cambridge University Hospitals
RW3;FT;Greater Manchester;Central Manchester University Hospitals;26;21;24;26;21;17;18;19;32;24;22;21;Central Manchester University Hospitals
RQM;FT;London;Chelsea & Westminster Hospital;5;6;10;8;9;4;6;10;6;5;1;0;Chelsea & Westminster Hospital
RFS;FT;East Midlands;Chesterfield Royal Hospital;12;17;17;24;21;23;18;25;15;16;23;17;Chesterfield Royal Hospital
RLN;FT;North East;City Hospitals Sunderland;19;30;25;18;27;17;25;27;27;21;21;22;City Hospitals Sunderland
RDE;FT;Anglia and Essex;Colchester Hospital University;20;25;13;20;13;17;18;18;27;19;14;19;Colchester Hospital University
RJR;FT;Cheshire and Merseyside;Countess of Chester Hospital;19;22;16;15;15;19;16;16;17;11;19;16;Countess of Chester Hospital
RXP;FT;North East;County Durham & Darlington;20;28;29;28;27;30;32;30;24;19;23;29;County Durham & Darlington
RJ6;--;London;Croydon Health Services;12;19;12;16;14;17;22;15;9;12;9;10;Croydon Health Services
RN7;--;Kent, Surrey and Sussex;Dartford & Gravesham;16;19;14;24;14;19;6;15;12;15;15;14;Dartford & Gravesham
RTG;FT;East Midlands;Derby Hospitals;37;41;44;45;31;35;41;29;35;27;35;32;Derby Hospitals
RP5;FT;Yorkshire and Humber;Doncaster & Bassetlaw Hospitals;26;32;29;34;28;23;28;17;24;20;30;33;Doncaster & Bassetlaw Hospitals
RBD;FT;Wessex;Dorset County Hospital;5;8;9;9;8;11;8;5;6;6;11;9;Dorset County Hospital
RWH;--;South Midlands and Hertfordshire;East & North Hertfordshire;11;33;22;20;20;22;20;25;24;14;18;18;East & North Hertfordshire
RJN;--;Cheshire and Merseyside;East Cheshire;12;12;12;5;18;14;14;10;19;9;9;7;East Cheshire
RVV;FT;Kent, Surrey and Sussex;East Kent Hospitals University;41;37;40;44;31;44;46;39;38;36;33;40;East Kent Hospitals University
RXR;--;Cumbria and Lancashire;East Lancashire Hospitals;26;27;37;20;25;26;35;29;27;32;31;25;East Lancashire Hospitals
RXC;--;Kent, Surrey and Sussex;East Sussex Healthcare;16;13;23;23;28;22;23;21;19;12;14;24;East Sussex Healthcare
RVR;--;London;Epsom & St Helier University Hospitals;19;26;34;14;12;20;20;13;21;19;15;25;Epsom & St Helier University Hospitals
RDU;FT;Kent, Surrey and Sussex;Frimley Health3;44;40;33;35;52;36;40;27;32;38;36;38;Frimley Health3
RR7;FT;North East;Gateshead Health;16;10;14;15;12;14;7;14;12;14;20;14;Gateshead Health
RLT;--;West Midlands;George Eliot Hospital;11;16;16;13;7;12;18;14;8;14;6;11;George Eliot Hospital
RTE;FT;Avon, Gloucestershire and Wiltshire;Gloucestershire Hospitals;18;27;28;25;31;27;25;29;20;21;20;16;Gloucestershire Hospitals
RP4;FT;London;Great Ormond Street Hospital for Children;2;2;2;1;3;1;0;2;2;3;1;0;Great Ormond Street Hospital for Children
RN3;FT;Avon, Gloucestershire and Wiltshire;Great Western Hospitals;13;24;24;16;21;14;19;15;21;23;16;22;Great Western Hospitals
