Title:;ARCHIVE Financial Year - Monthly counts of E. coli bacteraemia by Acute Trust;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Reporting Period:;April 2015 to March 2016;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
No. of months:;12 months;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Publication date:;February 2017;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Trust Code;Trust Type;PHE Centre;Trust Name;April 2015;May 2015;June 2015;July 2015;August 2015;September 2015;October 2015;November 2015;December 2015;January 2016;February 2016;March 2016;Trust Name
;;;Totals;2927;3061;3200;3373;3353;3363;3309;3168;3077;3226;2956;3231;Totals
;;;;;;;;;;;;;;;;
REM;FT;North West;Aintree University Hospital;27;26;27;23;26;33;25;35;22;23;21;18;Aintree University Hospital
RCF;FT;Yorkshire And Humber;Airedale;15;5;11;10;5;8;9;18;13;17;11;9;Airedale
RBS;FT;North West;Alder Hey Children's;3;1;3;5;4;3;2;0;1;0;0;2;Alder Hey Children's
RTK;FT;South East;Ashford & St Peter's Hospitals;23;25;18;22;20;22;15;16;26;15;14;21;Ashford & St Peter's Hospitals
RF4;--;London;Barking, Havering & Redbridge University Hospitals;42;39;39;43;42;39;51;46;44;40;37;43;Barking, Havering & Redbridge University Hospitals
RFF;FT;Yorkshire And Humber;Barnsley Hospital;14;15;20;17;19;19;17;11;15;8;18;20;Barnsley Hospital
R1H;--;London;Barts Health;55;39;48;61;61;53;56;56;54;47;43;59;Barts Health
RDD;FT;East Of England;Basildon & Thurrock University Hospitals;14;28;19;20;23;19;20;20;20;18;19;17;Basildon & Thurrock University Hospitals
RC1;--;East Of England;Bedford Hospital;11;9;17;7;10;12;15;10;9;8;8;7;Bedford Hospital
RQ3;FT;West Midlands;Birmingham Children's Hospital;2;2;6;3;2;3;1;4;1;4;2;0;Birmingham Children's Hospital
RLU;FT;West Midlands;Birmingham Women's;2;1;0;0;0;0;1;0;2;0;0;4;Birmingham Women's
RXL;FT;North West;Blackpool Teaching Hospitals;19;21;29;21;29;29;25;20;23;27;28;20;Blackpool Teaching Hospitals
RMC;FT;North West;Bolton;29;23;12;19;25;27;21;24;18;18;16;21;Bolton
RAE;FT;Yorkshire And Humber;Bradford Teaching Hospitals;26;19;21;23;26;23;25;17;23;18;20;22;Bradford Teaching Hospitals
RXH;--;South East;Brighton & Sussex University Hospitals;29;26;21;23;23;25;20;23;25;27;15;24;Brighton & Sussex University Hospitals
RXQ;--;South East;Buckinghamshire Healthcare;21;17;17;19;21;21;25;22;20;14;21;23;Buckinghamshire Healthcare
RJF;FT;West Midlands;Burton Hospitals;6;5;10;14;9;13;12;8;6;7;11;7;Burton Hospitals
RWY;FT;Yorkshire And Humber;Calderdale & Huddersfield;25;19;27;24;27;34;27;26;24;30;26;13;Calderdale & Huddersfield
RGT;FT;East Of England;Cambridge University Hospitals;24;29;24;22;20;23;27;26;21;29;11;22;Cambridge University Hospitals
RW3;FT;North West;Central Manchester University Hospitals;24;33;26;16;26;16;19;34;15;27;19;23;Central Manchester University Hospitals
RQM;FT;London;Chelsea & Westminster Hospital;24;23;25;30;17;22;22;24;16;29;18;27;Chelsea & Westminster Hospital
RFS;FT;East Midlands;Chesterfield Royal Hospital;24;17;14;20;19;29;15;28;27;23;15;24;Chesterfield Royal Hospital
RLN;FT;North East;City Hospitals Sunderland;27;27;29;23;23;22;26;30;20;23;18;25;City Hospitals Sunderland
RDE;FT;East Of England;Colchester Hospital University;12;21;27;24;17;16;18;25;18;21;18;20;Colchester Hospital University
RJR;FT;North West;Countess of Chester Hospital;19;15;22;13;20;24;15;24;17;16;19;19;Countess of Chester Hospital
RXP;FT;North East;County Durham & Darlington;21;26;23;27;39;32;27;33;24;29;27;26;County Durham & Darlington
RJ6;--;London;Croydon Health Services;12;13;16;18;12;17;15;21;16;19;26;23;Croydon Health Services
RN7;--;South East;Dartford & Gravesham;16;13;9;20;16;17;13;18;12;21;18;22;Dartford & Gravesham
RTG;FT;East Midlands;Derby Hospitals;36;31;35;43;38;22;29;37;50;39;38;40;Derby Hospitals
RP5;FT;Yorkshire And Humber;Doncaster & Bassetlaw Hospitals;28;21;22;25;30;38;40;35;30;37;35;31;Doncaster & Bassetlaw Hospitals
RBD;FT;South West;Dorset County Hospital;7;15;9;11;8;11;9;6;10;7;13;8;Dorset County Hospital
RWH;--;East Of England;East & North Hertfordshire;15;14;18;29;28;18;17;24;18;19;25;31;East & North Hertfordshire
RJN;--;North West;East Cheshire;15;12;10;12;10;13;15;11;13;9;10;17;East Cheshire
RVV;FT;South East;East Kent Hospitals University;40;44;37;52;49;42;43;50;43;43;47;39;East Kent Hospitals University
RXR;--;North West;East Lancashire Hospitals;35;30;30;27;35;35;34;23;30;31;29;35;East Lancashire Hospitals
RXC;--;South East;East Sussex Healthcare;23;28;26;34;31;24;23;23;16;31;31;32;East Sussex Healthcare
RVR;--;London;Epsom & St Helier University Hospitals;21;21;28;12;29;24;26;21;29;23;24;15;Epsom & St Helier University Hospitals
RDU;FT;South East;Frimley Health;37;38;45;38;46;45;52;35;52;57;31;55;Frimley Health
RR7;FT;North East;Gateshead Health;10;14;16;9;28;14;11;13;15;21;21;22;Gateshead Health
RLT;--;West Midlands;George Eliot Hospital;9;11;7;8;12;8;11;6;5;11;11;10;George Eliot Hospital
RTE;FT;South West;Gloucestershire Hospitals;12;31;23;32;23;22;25;18;27;21;22;20;Gloucestershire Hospitals
RP4;FT;London;Great Ormond Street Hospital for Children;0;1;3;1;3;1;1;2;3;1;1;0;Great Ormond Street Hospital for Children
RN3;FT;South West;Great Western Hospitals;22;18;17;32;32;24;26;24;27;17;18;14;Great Western Hospitals
RJ1;FT;London;Guy's & St. Thomas';20;23;18;16;19;12;17;24;18;22;20;31;Guy's & St. Thomas'
RN5;FT;South East;Hampshire Hospitals;25;17;19;23;19;20;22;19;18;16;20;13;Hampshire Hospitals
RCD;FT;Yorkshire And Humber;Harrogate & District;10;12;10;9;18;19;14;10;15;7;8;12;Harrogate & District
RR1;FT;West Midlands;Heart of England;44;60;53;57;47;68;72;42;39;51;50;51;Heart of England
RQQ;--;East Of England;Hinchingbrooke Health Care;9;6;9;8;12;7;6;8;6;11;10;3;Hinchingbrooke Health Care
RQX;FT;London;Homerton University Hospital;7;15;6;16;12;19;13;9;13;10;7;14;Homerton University Hospital
RWA;--;Yorkshire And Humber;Hull & East Yorkshire Hospitals;24;32;34;38;35;33;32;28;29;31;30;28;Hull & East Yorkshire Hospitals
RYJ;--;London;Imperial College Healthcare;27;29;32;32;29;37;31;28;31;24;27;27;Imperial College Healthcare
RGQ;--;East Of England;Ipswich Hospital;11;11;19;13;15;17;12;17;28;24;9;10;Ipswich Hospital
R1F;--;South East;Isle of Wight;14;6;11;16;13;10;8;12;4;4;11;14;Isle of Wight
RGP;FT;East Of England;James Paget University Hospitals;14;12;12;17;11;13;17;12;16;20;18;22;James Paget University Hospitals
RNQ;FT;East Midlands;Kettering General Hospital;14;22;13;14;20;21;17;13;16;19;21;14;Kettering General Hospital
RJZ;FT;London;King's College Hospital;29;36;35;38;41;48;42;37;28;37;29;29;King's College Hospital
RAX;FT;London;Kingston Hospital;8;19;15;11;20;12;20;16;16;13;16;14;Kingston Hospital
RXN;FT;North West;Lancashire Teaching Hospitals;25;15;18;29;34;27;24;15;24;29;17;33;Lancashire Teaching Hospitals
RR8;--;Yorkshire And Humber;Leeds Teaching Hospitals;40;44;39;52;53;57;43;46;47;47;52;56;Leeds Teaching Hospitals
RJ2;--;London;Lewisham & Greenwich;24;30;36;44;31;37;32;40;37;26;26;37;Lewisham & Greenwich
RBQ;FT;North West;Liverpool Heart & Chest Hospital;1;1;2;2;1;0;0;0;2;1;3;1;Liverpool Heart & Chest Hospital
REP;FT;North West;Liverpool Women's;2;1;2;2;2;3;1;0;2;1;1;1;Liverpool Women's
R1K;--;London;London North West Healthcare;44;45;40;46;39;40;46;32;27;47;38;37;London North West Healthcare
RC9;FT;East Of England;Luton & Dunstable University Hospital;13;11;13;15;15;16;12;20;15;18;16;20;Luton & Dunstable University Hospital
RWF;--;South East;Maidstone & Tunbridge Wells;24;22;34;28;18;27;23;27;28;26;31;21;Maidstone & Tunbridge Wells
RPA;FT;South East;Medway;21;22;18;21;29;19;19;20;23;25;23;26;Medway
RBT;FT;North West;Mid Cheshire Hospitals;9;13;15;18;23;13;10;15;14;19;18;20;Mid Cheshire Hospitals
