Title:;ARCHIVE Financial Year - Monthly counts of E. coli bacteraemia by CCG;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Reporting Period:;April 2013 to March 2014;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. of months:;12 months;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Publication date:;February 2015;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
CCG Code;PHE Centre;CCG Name;April 2013;May 2013;June 2013;July 2013;August 2013;September 2013;October 2013;November 2013;December 2013;January 2014;February 2014;March 2014;CCG Name
;;Totals;2692;2751;2750;2995;3155;2929;2998;2777;2848;2878;2625;2877;Totals
;;;;;;;;;;;;;;;
02N;Yorkshire and Humber;Airedale, Wharfdale And Craven;10;4;8;7;10;11;11;8;4;12;5;10;Airedale, Wharfdale And Craven
09C;Kent, Surrey and Sussex;Ashford;3;5;8;7;2;5;6;8;4;8;2;8;Ashford
10Y;Thames Valley;Aylesbury Vale;4;8;8;4;8;11;13;13;8;9;7;5;Aylesbury Vale
07L;London;Barking And Dagenham;10;12;9;10;15;11;7;11;9;12;8;10;Barking And Dagenham
07M;London;Barnet;19;28;26;26;22;18;22;14;21;18;15;15;Barnet
;;;;;;;;;;;;;;;
02P;Yorkshire and Humber;Barnsley;7;12;9;15;18;16;20;6;17;12;12;21;Barnsley
99E;Anglia and Essex;Basildon And Brentwood;19;9;14;12;16;12;18;14;14;12;18;16;Basildon And Brentwood
02Q;East Midlands;Bassetlaw;5;3;5;6;9;10;6;10;2;9;4;6;Bassetlaw
11E;Avon, Gloucestershire and Wiltshire;Bath And North East Somerset;5;3;9;9;10;11;6;13;12;11;18;7;Bath And North East Somerset
06F;South Midlands and Hertfordshire;Bedfordshire;18;13;23;16;30;22;29;16;16;28;16;22;Bedfordshire
;;;;;;;;;;;;;;;
07N;London;Bexley;15;14;12;7;15;9;3;11;15;8;9;10;Bexley
13P;West Midlands;Birmingham Crosscity;31;31;29;39;52;38;37;40;31;29;32;33;Birmingham Crosscity
04X;West Midlands;Birmingham South And Central;19;11;12;10;9;12;6;11;12;7;5;14;Birmingham South And Central
00Q;Cumbria and Lancashire;Blackburn With Darwen;7;6;12;8;11;9;13;5;15;10;11;10;Blackburn With Darwen
00R;Cumbria and Lancashire;Blackpool;4;10;11;19;16;14;12;7;10;10;14;10;Blackpool
;;;;;;;;;;;;;;;
00T;Greater Manchester;Bolton;21;15;19;23;23;12;17;15;17;16;10;22;Bolton
10G;Thames Valley;Bracknell And Ascot;1;0;4;6;5;5;2;4;8;4;4;5;Bracknell And Ascot
02W;Yorkshire and Humber;Bradford City;3;3;4;2;2;4;2;5;7;4;3;3;Bradford City
02R;Yorkshire and Humber;Bradford Districts;24;27;22;19;17;15;13;21;15;22;18;27;Bradford Districts
07P;London;Brent;17;13;10;11;22;16;18;11;19;17;16;18;Brent
;;;;;;;;;;;;;;;
09D;Kent, Surrey and Sussex;Brighton And Hove;16;20;12;11;11;13;14;11;15;12;10;12;Brighton And Hove
11H;Avon, Gloucestershire and Wiltshire;Bristol;15;20;18;24;24;22;21;23;20;20;25;16;Bristol
07Q;London;Bromley;13;11;9;12;17;13;22;14;10;11;10;13;Bromley
00V;Greater Manchester;Bury;5;11;8;7;10;9;9;7;6;9;9;3;Bury
02T;Yorkshire and Humber;Calderdale;10;10;7;14;8;9;11;10;8;12;15;9;Calderdale
;;;;;;;;;;;;;;;
06H;Anglia and Essex;Cambridgeshire And Peterborough;35;30;37;40;35;30;41;35;38;28;29;41;Cambridgeshire And Peterborough
07R;London;Camden;10;14;17;18;23;18;17;17;21;18;19;12;Camden
04Y;West Midlands;Cannock Chase;3;2;9;10;9;7;4;7;8;7;8;9;Cannock Chase
09E;Kent, Surrey and Sussex;Canterbury And Coastal;5;11;12;18;9;16;12;12;12;6;14;14;Canterbury And Coastal
99F;Anglia and Essex;Castle Point And Rochford;8;13;11;6;10;10;10;5;4;8;11;6;Castle Point And Rochford
;;;;;;;;;;;;;;;
09A;London;Central London (Westminster);8;5;5;7;6;9;4;6;6;7;8;2;Central London (Westminster)
00W;Greater Manchester;Central Manchester;13;8;7;8;7;10;15;7;8;8;16;9;Central Manchester
10H;Thames Valley;Chiltern;13;20;14;23;15;14;22;14;12;15;23;19;Chiltern
00X;Cumbria and Lancashire;Chorley And South Ribble;12;8;7;12;9;9;17;9;12;12;7;8;Chorley And South Ribble
07T;London;City And Hackney;13;8;6;7;11;10;15;10;14;12;15;11;City And Hackney
;;;;;;;;;;;;;;;
09G;Kent, Surrey and Sussex;Coastal West Sussex;26;32;22;24;30;19;30;27;29;25;27;24;Coastal West Sussex
03V;South Midlands and Hertfordshire;Corby;1;3;3;5;7;4;1;3;3;4;4;5;Corby
05A;West Midlands;Coventry And Rugby;21;25;15;31;27;20;20;28;19;31;24;17;Coventry And Rugby
09H;Kent, Surrey and Sussex;Crawley;10;5;4;16;13;7;9;3;3;2;4;8;Crawley
07V;London;Croydon;17;19;14;13;18;14;19;20;16;21;11;14;Croydon
;;;;;;;;;;;;;;;
01H;Cumbria and Lancashire;Cumbria;28;25;20;30;26;20;27;23;30;25;31;34;Cumbria
00C;North East;Darlington;0;4;5;12;9;8;7;12;4;6;8;5;Darlington
09J;Kent, Surrey and Sussex;Dartford, Gravesham And Swanley;11;15;15;11;19;12;14;12;18;15;10;11;Dartford, Gravesham And Swanley
02X;Yorkshire and Humber;Doncaster;19;9;18;23;26;23;26;17;23;25;27;26;Doncaster
11J;Wessex;Dorset;24;35;42;55;45;26;30;43;36;46;35;58;Dorset
;;;;;;;;;;;;;;;
05C;West Midlands;Dudley;19;14;14;18;23;10;22;15;12;19;29;20;Dudley
00D;North East;Durham Dales, Easington And Sedgefield;16;11;14;23;23;17;15;17;23;31;22;13;Durham Dales, Easington And Sedgefield
07W;London;Ealing;16;25;23;12;28;16;15;19;17;14;15;20;Ealing
06K;South Midlands and Hertfordshire;East And North Hertfordshire;28;25;30;37;35;30;25;25;29;14;17;14;East And North Hertfordshire
01A;Cumbria and Lancashire;East Lancashire;22;19;15;18;16;13;19;23;26;14;17;23;East Lancashire
;;;;;;;;;;;;;;;
03W;East Midlands;East Leicestershire And Rutland;16;15;10;11;12;19;20;16;15;10;10;16;East Leicestershire And Rutland
02Y;Yorkshire and Humber;East Riding Of Yorkshire;24;25;17;21;25;14;15;15;30;20;19;23;East Riding Of Yorkshire
05D;West Midlands;East Staffordshire;6;9;8;8;3;13;7;8;7;9;7;5;East Staffordshire
09L;Kent, Surrey and Sussex;East Surrey;10;11;10;13;8;9;14;11;6;16;9;2;East Surrey
09F;Kent, Surrey and Sussex;Eastbourne, Hailsham And Seaford;16;9;12;7;5;11;9;12;9;11;16;7;Eastbourne, Hailsham And Seaford
;;;;;;;;;;;;;;;
01C;Cheshire and Merseyside;Eastern Cheshire;13;13;13;21;14;14;15;10;13;22;13;23;Eastern Cheshire
07X;London;Enfield;11;24;24;26;18;16;12;14;12;9;10;8;Enfield
03X;East Midlands;Erewash;7;5;2;7;5;7;8;9;9;6;6;10;Erewash
10K;Wessex;Fareham And Gosport;6;6;11;10;8;10;13;9;7;10;4;13;Fareham And Gosport
02M;Cumbria and Lancashire;Fylde & Wyre;9;8;7;14;6;8;12;9;17;11;13;17;Fylde & Wyre
;;;;;;;;;;;;;;;
00F;North East;Gateshead;9;11;14;13;6;11;11;8;7;14;18;21;Gateshead
11M;Avon, Gloucestershire and Wiltshire;Gloucestershire;26;29;23;19;24;19;21;22;28;29;22;24;Gloucestershire
06M;Anglia and Essex;Great Yarmouth And Waveney;11;14;13;13;22;7;16;12;14;11;6;18;Great Yarmouth And Waveney
03A;Yorkshire and Humber;Greater Huddersfield;11;9;12;11;5;10;14;10;14;11;8;11;Greater Huddersfield
01E;Cumbria and Lancashire;Greater Preston;15;12;14;6;11;8;10;7;9;9;10;7;Greater Preston
;;;;;;;;;;;;;;;
08A;London;Greenwich;9;12;8;11;11;12;14;7;13;7;5;14;Greenwich
09N;Kent, Surrey and Sussex;Guildford And Waverley;10;14;8;3;5;14;14;9;7;7;7;4;Guildford And Waverley
01F;Cheshire and Merseyside;Halton;10;8;9;9;6;8;11;4;7;11;10;9;Halton
03D;Yorkshire and Humber;Hambleton, Richmondshire And Whitby;4;9;4;4;9;10;11;10;13;6;4;7;Hambleton, Richmondshire And Whitby
08C;London;Hammersmith And Fulham;8;5;7;7;5;5;4;3;7;8;8;7;Hammersmith And Fulham
;;;;;;;;;;;;;;;
03Y;East Midlands;Hardwick;7;13;8;12;9;12;5;12;2;9;9;5;Hardwick
08D;London;Haringey;17;5;11;11;10;6;7;7;10;13;9;10;Haringey
03E;Yorkshire and Humber;Harrogate And Rural District;7;11;13;11;10;9;7;7;8;11;6;7;Harrogate And Rural District
08E;London;Harrow;7;4;5;8;14;13;12;8;10;8;11;6;Harrow
00K;North East;Hartlepool And Stockton-On-Tees;14;11;17;8;18;16;17;15;16;28;10;10;Hartlepool And Stockton-On-Tees
;;;;;;;;;;;;;;;
