Title:;Monthly counts of E. coli bacteraemia by CCG;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Reporting Period:;March 2014 to March 2015;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
No. of months:;13;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Publication date:;Wednesday, 6 May 2015;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
CCG Code;PHE Centre;CCG Name;March 2014;April 2014;May 2014;June 2014;July 2014;August 2014;September 2014;October 2014;November 2014;December 2014;January 2015;February 2015;March 2015;CCG Name
;;Totals;2877;2873;3025;2988;3207;3234;3035;3085;2907;2855;2858;2691;2918;
;;;;;;;;;;;;;;;;
02N;Yorkshire and Humber;Airedale, Wharfdale and Craven;10;9;8;14;7;4;12;14;7;9;11;8;11;Airedale, Wharfdale and Craven
09C;Kent, Surrey and Sussex;Ashford;8;10;8;5;4;4;6;5;8;6;4;5;6;Ashford
10Y;Thames Valley;Aylesbury Vale;5;7;5;9;10;10;12;15;10;12;3;11;13;Aylesbury Vale
07L;London;Barking and Dagenham;10;8;7;10;11;10;8;12;9;11;8;9;10;Barking and Dagenham
07M;London;Barnet;15;23;16;23;13;25;18;24;20;11;19;22;10;Barnet
;;;;;;;;;;;;;;;;
02P;Yorkshire and Humber;Barnsley;21;14;20;18;23;18;20;14;20;16;22;14;11;Barnsley
99E;Anglia and Essex;Basildon and Brentwood;16;12;11;12;16;19;11;13;22;19;14;20;13;Basildon and Brentwood
02Q;East Midlands;Bassetlaw;6;12;10;7;9;5;6;8;8;4;5;7;3;Bassetlaw
11E;Avon, Gloucestershire and Wiltshire;Bath and North East Somerset;7;12;12;8;11;8;13;13;6;11;14;8;13;Bath and North East Somerset
06F;South Midlands and Hertfordshire;Bedfordshire;22;17;19;28;26;29;29;23;19;23;21;18;19;Bedfordshire
;;;;;;;;;;;;;;;;
07N;London;Bexley;10;14;8;8;9;5;3;10;11;13;12;7;18;Bexley
13P;West Midlands;Birmingham Crosscity;33;24;41;43;44;51;41;36;36;33;44;36;33;Birmingham Crosscity
04X;West Midlands;Birmingham South and Central;14;6;12;15;14;4;10;8;9;14;9;6;10;Birmingham South and Central
00Q;Cumbria and Lancashire;Blackburn With Darwen;10;11;9;8;10;9;7;12;8;9;13;14;8;Blackburn With Darwen
00R;Cumbria and Lancashire;Blackpool;10;8;14;13;19;7;19;13;12;13;12;12;12;Blackpool
;;;;;;;;;;;;;;;;
00T;Greater Manchester;Bolton;22;19;18;17;20;15;14;14;11;20;23;13;13;Bolton
10G;Thames Valley;Bracknell and Ascot;5;10;5;7;5;5;4;10;6;5;9;7;8;Bracknell and Ascot
02W;Yorkshire and Humber;Bradford City;3;4;0;8;5;6;2;2;3;4;2;4;3;Bradford City
02R;Yorkshire and Humber;Bradford Districts;27;18;18;15;14;23;24;14;20;5;15;10;27;Bradford Districts
07P;London;Brent;18;13;13;12;14;20;20;14;21;20;15;11;15;Brent
;;;;;;;;;;;;;;;;
09D;Kent, Surrey and Sussex;Brighton and Hove;12;11;8;15;11;14;9;18;10;17;6;3;14;Brighton and Hove
11H;Avon, Gloucestershire and Wiltshire;Bristol;16;20;18;26;24;13;27;16;22;18;21;23;14;Bristol
07Q;London;Bromley;13;9;10;12;14;14;12;9;17;14;10;11;8;Bromley
00V;Greater Manchester;Bury;3;10;9;5;7;10;8;5;11;8;12;6;13;Bury
02T;Yorkshire and Humber;Calderdale;9;13;13;10;16;5;11;13;12;11;8;13;13;Calderdale
;;;;;;;;;;;;;;;;
06H;Anglia and Essex;Cambridgeshire and Peterborough;41;39;44;34;45;30;36;36;44;27;38;33;36;Cambridgeshire and Peterborough
07R;London;Camden;12;19;18;17;16;15;15;19;14;14;7;19;12;Camden
04Y;West Midlands;Cannock Chase;9;4;5;8;10;10;8;3;5;8;4;6;6;Cannock Chase
09E;Kent, Surrey and Sussex;Canterbury and Coastal;14;13;17;16;12;11;12;10;13;14;13;10;10;Canterbury and Coastal
99F;Anglia and Essex;Castle Point and Rochford;6;10;10;5;5;6;9;7;2;8;9;5;7;Castle Point and Rochford
;;;;;;;;;;;;;;;;
09A;London;Central London (Westminster);2;6;5;5;2;5;6;7;8;5;6;6;5;Central London (Westminster)
00W;Greater Manchester;Central Manchester;9;9;8;9;14;9;7;4;10;15;12;7;14;Central Manchester
10H;Thames Valley;Chiltern;19;23;21;19;14;20;10;21;10;23;11;24;16;Chiltern
00X;Cumbria and Lancashire;Chorley and South Ribble;8;9;10;7;11;6;10;14;13;10;7;9;7;Chorley and South Ribble
07T;London;City and Hackney;11;11;12;11;11;15;13;10;10;9;11;12;14;City and Hackney
;;;;;;;;;;;;;;;;
09G;Kent, Surrey and Sussex;Coastal West Sussex;24;23;30;27;27;34;20;20;25;30;29;22;41;Coastal West Sussex
03V;South Midlands and Hertfordshire;Corby;5;0;4;6;3;2;2;3;5;4;6;5;7;Corby
05A;West Midlands;Coventry and Rugby;17;21;26;18;30;35;23;22;22;23;20;15;22;Coventry and Rugby
09H;Kent, Surrey and Sussex;Crawley;8;4;4;9;7;4;12;2;2;6;3;7;5;Crawley
07V;London;Croydon;14;16;26;15;19;13;17;23;21;14;12;15;12;Croydon
;;;;;;;;;;;;;;;;
01H;Cumbria and Lancashire;Cumbria;34;31;30;26;30;34;24;30;33;33;23;25;27;Cumbria
00C;North East;Darlington;5;8;8;11;7;6;11;10;10;8;5;7;11;Darlington
09J;Kent, Surrey and Sussex;Dartford, Gravesham and Swanley;11;14;17;10;20;12;19;7;15;10;14;13;11;Dartford, Gravesham and Swanley
02X;Yorkshire and Humber;Doncaster;26;18;19;17;19;21;19;22;9;18;13;22;28;Doncaster
11J;Wessex;Dorset;58;40;46;34;63;56;44;56;46;41;40;43;44;Dorset
;;;;;;;;;;;;;;;;
05C;West Midlands;Dudley;20;18;19;17;15;20;25;21;20;11;14;16;18;Dudley
00D;North East;Durham Dales, Easington and Sedgefield;13;10;17;15;19;23;11;19;18;15;17;14;18;Durham Dales, Easington and Sedgefield
07W;London;Ealing;20;18;16;16;20;26;16;15;22;18;24;14;11;Ealing
06K;South Midlands and Hertfordshire;East and North Hertfordshire;14;14;31;18;28;30;30;32;29;22;20;18;25;East and North Hertfordshire
01A;Cumbria and Lancashire;East Lancashire;23;16;21;36;15;17;26;26;23;23;23;21;22;East Lancashire
;;;;;;;;;;;;;;;;
03W;East Midlands;East Leicestershire and Rutland;16;12;19;21;14;28;21;12;17;13;15;17;14;East Leicestershire and Rutland
02Y;Yorkshire and Humber;East Riding of Yorkshire;23;21;23;16;27;23;17;20;22;26;11;15;26;East Riding of Yorkshire
05D;West Midlands;East Staffordshire;5;9;10;12;11;4;9;10;12;11;9;6;6;East Staffordshire
09L;Kent, Surrey and Sussex;East Surrey;2;14;17;9;6;7;7;10;10;7;8;7;6;East Surrey
09F;Kent, Surrey and Sussex;Eastbourne, Hailsham and Seaford;7;8;3;8;12;10;18;11;10;8;8;8;10;Eastbourne, Hailsham and Seaford
;;;;;;;;;;;;;;;;
01C;Cheshire and Merseyside;Eastern Cheshire;23;16;8;15;7;18;23;18;13;20;9;12;9;Eastern Cheshire
07X;London;Enfield;8;14;20;16;14;15;22;18;17;21;17;13;20;Enfield
03X;East Midlands;Erewash;10;5;8;6;7;13;6;9;9;10;9;6;6;Erewash
10K;Wessex;Fareham and Gosport;13;7;8;12;16;18;13;7;5;7;9;6;9;Fareham and Gosport
02M;Cumbria and Lancashire;Fylde & Wyre;17;15;15;9;9;7;13;13;17;7;9;12;8;Fylde & Wyre
;;;;;;;;;;;;;;;;
00F;North East;Gateshead;21;14;10;15;18;12;14;10;11;14;11;18;15;Gateshead
11M;Avon, Gloucestershire and Wiltshire;Gloucestershire;24;20;32;29;30;34;30;24;29;25;23;21;16;Gloucestershire
06M;Anglia and Essex;Great Yarmouth and Waveney;18;12;12;14;15;14;8;14;13;10;15;19;15;Great Yarmouth and Waveney
03A;Yorkshire and Humber;Greater Huddersfield;11;14;12;11;7;7;10;16;15;11;17;15;11;Greater Huddersfield
01E;Cumbria and Lancashire;Greater Preston;7;8;12;12;14;15;15;10;10;14;7;9;10;Greater Preston
;;;;;;;;;;;;;;;;
08A;London;Greenwich;14;16;13;13;9;15;13;10;15;13;9;12;13;Greenwich
09N;Kent, Surrey and Sussex;Guildford and Waverley;4;5;8;7;8;8;5;5;6;13;9;14;4;Guildford and Waverley
01F;Cheshire and Merseyside;Halton;9;6;10;6;9;8;8;7;2;10;6;11;9;Halton
03D;Yorkshire and Humber;Hambleton, Richmondshire and Whitby;7;12;13;12;8;10;11;6;13;9;7;7;9;Hambleton, Richmondshire and Whitby
08C;London;Hammersmith and Fulham;7;3;4;7;7;14;1;4;7;5;12;7;4;Hammersmith and Fulham
;;;;;;;;;;;;;;;;
03Y;East Midlands;Hardwick;5;9;5;3;13;7;7;6;9;5;4;6;7;Hardwick
08D;London;Haringey;10;12;12;12;9;14;10;10;10;12;13;12;13;Haringey
03E;Yorkshire and Humber;Harrogate and Rural District;7;9;9;10;13;4;6;13;6;5;10;8;6;Harrogate and Rural District
08E;London;Harrow;6;15;13;5;13;10;8;12;16;15;9;11;9;Harrow
00K;North East;Hartlepool and Stockton-On-Tees;10;16;18;11;15;11;22;23;20;13;19;22;17;Hartlepool and Stockton-On-Tees
;;;;;;;;;;;;;;;;
09P;Kent, Surrey and Sussex;Hastings and Rother;13;8;11;15;9;16;8;13;12;10;5;7;14;Hastings and Rother
08F;London;Havering;26;13;12;33;21;21;21;13;19;16;17;16;13;Havering
05F;West Midlands;Herefordshire;4;8;17;12;16;12;5;5;8;19;11;6;13;Herefordshire
06N;South Midlands and Hertfordshire;Herts Valleys;28;19;32;24;29;46;29;35;19;29;25;23;30;Herts Valleys
01D;Greater Manchester;Heywood, Middleton and Rochdale;10;7;12;11;10;14;9;14;7;10;12;15;7;Heywood, Middleton and Rochdale
;;;;;;;;;;;;;;;;
99K;Kent, Surrey and Sussex;High Weald Lewes Havens;6;12;4;7;10;9;5;6;7;16;3;10;8;High Weald Lewes Havens
08G;London;Hillingdon;11;5;13;21;13;22;18;17;20;14;25;14;9;Hillingdon
09X;Kent, Surrey and Sussex;Horsham and Mid Sussex;5;8;7;12;11;14;10;9;7;5;7;4;8;Horsham and Mid Sussex
07Y;London;Hounslow;30;14;23;13;10;9;9;12;7;10;14;17;17;Hounslow
03F;Yorkshire and Humber;Hull;20;10;16;12;20;22;18;16;13;12;9;20;11;Hull
;;;;;;;;;;;;;;;;
06L;Anglia and Essex;Ipswich and East Suffolk;18;13;14;22;18;17;16;18;10;15;15;17;17;Ipswich and East Suffolk
10L;Wessex;Isle of Wight;8;10;8;7;11;7;9;11;14;9;13;8;9;Isle of Wight
08H;London;Islington;7;9;9;5;18;13;8;10;10;13;12;12;11;Islington
11N;Devon, Cornwall and Somerset;Kernow;21;19;23;26;26;22;31;23;21;28;25;24;26;Kernow
08J;London;Kingston;5;5;6;12;11;7;7;7;3;4;7;6;6;Kingston
;;;;;;;;;;;;;;;;
01J;Cheshire and Merseyside;Knowsley;20;10;9;8;19;14;8;19;14;8;11;9;12;Knowsley
08K;London;Lambeth;18;18;8;10;16;11;12;17;12;12;15;12;14;Lambeth
01K;Cumbria and Lancashire;Lancashire North;10;11;8;13;8;6;11;4;12;5;14;8;7;Lancashire North
02V;Yorkshire and Humber;Leeds North;10;10;10;7;14;7;13;10;9;11;9;9;6;Leeds North
03G;Yorkshire and Humber;Leeds South and East;20;18;32;16;20;16;23;29;21;19;18;16;9;Leeds South and East
;;;;;;;;;;;;;;;;
03C;Yorkshire and Humber;Leeds West;7;11;17;13;15;16;17;15;15;14;20;17;17;Leeds West
04C;East Midlands;Leicester City;12;19;16;21;16;25;21;19;21;15;15;29;17;Leicester City
08L;London;Lewisham;9;10;8;11;9;14;6;8;11;14;15;9;19;Lewisham
03T;East Midlands;Lincolnshire East;16;16;19;17;18;25;15;16;12;15;19;16;14;Lincolnshire East
04D;East Midlands;Lincolnshire West;9;11;8;12;10;9;20;14;8;11;12;4;8;Lincolnshire West
;;;;;;;;;;;;;;;;
99A;Cheshire and Merseyside;Liverpool;35;43;33;38;42;45;39;42;38;25;42;29;34;Liverpool
06P;South Midlands and Hertfordshire;Luton;10;15;8;13;12;18;10;8;10;6;8;5;5;Luton
04E;East Midlands;Mansfield and Ashfield;17;17;6;15;24;22;17;8;12;11;21;15;13;Mansfield and Ashfield
09W;Kent, Surrey and Sussex;Medway;14;17;23;18;24;23;10;18;19;22;14;12;15;Medway
08R;London;Merton;4;8;8;8;16;7;7;14;6;7;4;3;11;Merton
;;;;;;;;;;;;;;;;
06Q;Anglia and Essex;Mid Essex;19;19;14;15;15;28;15;16;15;12;13;9;12;Mid Essex
04F;South Midlands and Hertfordshire;Milton Keynes;11;13;9;15;15;18;15;12;13;5;7;14;14;Milton Keynes
04G;South Midlands and Hertfordshire;Nene;30;37;28;36;26;46;31;36;34;43;33;27;16;Nene
04H;East Midlands;Newark & Sherwood;11;10;10;7;7;5;6;8;11;12;14;11;11;Newark & Sherwood
10M;Thames Valley;Newbury and District;6;3;2;3;1;2;2;7;2;1;6;5;6;Newbury and District
;;;;;;;;;;;;;;;;
00G;North East;Newcastle North and East;10;8;5;13;8;12;10;10;9;10;9;6;11;Newcastle North and East
00H;North East;Newcastle West;8;10;12;11;11;7;7;5;11;4;9;11;9;Newcastle West
08M;London;Newham;14;12;10;13;15;18;13;7;16;13;16;11;8;Newham
10N;Thames Valley;North & West Reading;4;2;3;2;8;0;1;12;7;4;1;3;3;North & West Reading
04J;East Midlands;North Derbyshire;21;16;21;21;24;17;21;19;23;18;18;21;19;North Derbyshire
;;;;;;;;;;;;;;;;
00J;North East;North Durham;14;12;11;8;14;9;15;15;15;15;12;8;12;North Durham
06T;Anglia and Essex;North East Essex;12;17;23;13;17;13;14;17;15;27;18;14;18;North East Essex
99M;Wessex;North East Hampshire and Farnham;9;11;14;3;13;13;10;5;5;12;8;4;9;North East Hampshire and Farnham
03H;Yorkshire and Humber;North East Lincolnshire;8;9;13;10;9;14;5;8;13;11;14;17;11;North East Lincolnshire
10J;Wessex;North Hampshire;8;9;9;8;8;6;6;8;5;7;7;5;6;North Hampshire
;;;;;;;;;;;;;;;;
03J;Yorkshire and Humber;North Kirklees;15;20;11;18;13;10;9;16;16;9;10;11;10;North Kirklees
03K;Yorkshire and Humber;North Lincolnshire;14;6;9;9;10;18;13;10;12;10;14;9;10;North Lincolnshire
01M;Greater Manchester;North Manchester;17;12;13;9;10;12;14;14;7;15;7;8;11;North Manchester
06V;Anglia and Essex;North Norfolk;11;6;6;6;5;10;8;7;4;3;4;6;9;North Norfolk
11T;Avon, Gloucestershire and Wiltshire;North Somerset;20;9;16;15;13;16;16;18;14;14;9;14;15;North Somerset
;;;;;;;;;;;;;;;;
05G;West Midlands;North Staffordshire;14;17;15;18;18;16;19;16;8;14;12;11;14;North Staffordshire
99C;North East;North Tyneside;13;20;24;21;23;17;19;25;16;15;20;13;16;North Tyneside
09Y;Kent, Surrey and Sussex;North West Surrey;15;13;27;14;14;22;23;11;21;20;20;17;20;North West Surrey
99P;Devon, Cornwall and Somerset;North, East, West Devon;45;53;51;44;57;49;47;51;45;44;41;47;61;North, East, West Devon
00L;North East;Northumberland;22;22;33;22;30;21;30;25;24;21;30;23;28;Northumberland
;;;;;;;;;;;;;;;;
06W;Anglia and Essex;Norwich;5;9;7;8;5;9;10;10;8;10;3;6;8;Norwich
04K;East Midlands;Nottingham City;12;31;23;29;26;37;25;25;28;30;27;17;35;Nottingham City
04L;East Midlands;Nottingham North and East;19;12;9;10;15;12;10;20;9;10;9;9;17;Nottingham North and East
04M;East Midlands;Nottingham West;12;6;5;6;11;7;9;9;17;10;9;6;8;Nottingham West
00Y;Greater Manchester;Oldham;10;10;10;14;8;12;16;14;12;15;9;10;12;Oldham
;;;;;;;;;;;;;;;;
10Q;Thames Valley;Oxfordshire;24;26;23;40;44;41;31;29;31;29;24;24;32;Oxfordshire
10R;Wessex;Portsmouth;9;9;8;11;14;9;7;9;10;12;14;9;15;Portsmouth
08N;London;Redbridge;10;19;15;9;12;18;9;15;16;18;17;14;26;Redbridge
05J;West Midlands;Redditch and Bromsgrove;11;6;8;5;11;7;7;8;7;8;8;6;9;Redditch and Bromsgrove
08P;London;Richmond;4;4;10;6;2;8;6;9;9;6;8;5;6;Richmond
;;;;;;;;;;;;;;;;
03L;Yorkshire and Humber;Rotherham;17;15;13;29;23;21;16;17;13;13;20;18;22;Rotherham
04N;East Midlands;Rushcliffe;10;11;13;5;13;9;7;10;7;9;5;10;10;Rushcliffe
01G;Greater Manchester;Salford;19;8;24;8;10;16;14;8;15;17;22;16;12;Salford
05L;West Midlands;Sandwell and West Birmingham;25;29;37;36;32;38;20;30;21;25;18;20;33;Sandwell and West Birmingham
03M;Yorkshire and Humber;Scarborough and Ryedale;7;8;9;10;11;8;8;11;14;5;12;8;11;Scarborough and Ryedale
;;;;;;;;;;;;;;;;
03N;Yorkshire and Humber;Sheffield;29;44;50;37;64;45;39;33;33;38;42;38;54;Sheffield
05N;West Midlands;Shropshire;10;20;22;17;23;21;17;22;14;14;10;11;20;Shropshire
10T;Thames Valley;Slough;9;5;6;5;8;10;7;5;6;10;8;6;9;Slough
05P;West Midlands;Solihull;12;12;9;17;13;10;13;20;15;9;17;14;12;Solihull
11X;Devon, Cornwall and Somerset;Somerset;28;36;32;29;34;23;22;29;28;23;30;33;24;Somerset
;;;;;;;;;;;;;;;;
01R;Cheshire and Merseyside;South Cheshire;14;10;9;12;10;14;12;14;13;15;19;11;9;South Cheshire
99Q;Devon, Cornwall and Somerset;South Devon and Torbay;17;27;20;11;15;21;17;15;22;16;19;15;9;South Devon and Torbay
05Q;West Midlands;South East Staffs and Seisdon Peninsular;10;12;8;18;9;8;14;8;13;8;10;6;15;South East Staffs and Seisdon Peninsular
10V;Wessex;South Eastern Hampshire;9;11;10;21;4;10;17;11;11;10;14;10;9;South Eastern Hampshire
12A;Avon, Gloucestershire and Wiltshire;South Gloucestershire;20;8;12;8;15;10;22;19;10;10;6;10;13;South Gloucestershire
;;;;;;;;;;;;;;;;
10A;Kent, Surrey and Sussex;South Kent Coast;12;14;8;10;15;8;18;19;7;8;11;14;8;South Kent Coast
99D;East Midlands;South Lincolnshire;11;9;11;11;12;11;9;10;10;8;6;7;4;South Lincolnshire
01N;Greater Manchester;South Manchester;4;8;4;6;7;9;10;10;8;10;9;8;6;South Manchester
06Y;Anglia and Essex;South Norfolk;6;10;13;6;9;11;15;16;12;15;10;11;21;South Norfolk
10W;Thames Valley;South Reading;4;5;3;5;7;8;5;6;6;5;6;5;5;South Reading
;;;;;;;;;;;;;;;;
01T;Cheshire and Merseyside;South Sefton;14;15;17;19;13;13;8;10;13;12;15;21;13;South Sefton
00M;North East;South Tees;17;22;25;14;25;20;30;28;26;21;19;15;25;South Tees
00N;North East;South Tyneside;7;7;12;9;14;11;10;10;4;6;10;13;9;South Tyneside
05R;West Midlands;South Warwickshire;10;17;10;6;15;20;15;12;17;13;21;11;21;South Warwickshire
04Q;East Midlands;South West Lincolnshire;2;2;7;8;3;11;8;9;7;8;14;4;4;South West Lincolnshire
;;;;;;;;;;;;;;;;
05T;West Midlands;South Worcestershire;14;17;17;21;13;12;12;28;15;11;13;9;17;South Worcestershire
10X;Wessex;Southampton;10;13;14;20;10;10;12;16;11;5;14;16;9;Southampton
99G;Anglia and Essex;Southend;12;7;9;4;13;13;7;13;9;4;7;7;11;Southend
04R;East Midlands;Southern Derbyshire;37;42;38;44;46;39;33;39;35;35;25;34;32;Southern Derbyshire
01V;Cheshire and Merseyside;Southport and Formby;9;12;8;9;13;11;12;10;10;11;7;10;10;Southport and Formby
;;;;;;;;;;;;;;;;
08Q;London;Southwark;8;17;16;11;19;6;15;23;12;17;13;16;16;Southwark
01X;Cheshire and Merseyside;St Helens;12;15;17;7;16;18;13;9;7;12;10;18;14;St Helens
05V;West Midlands;Stafford and Surrounds;7;8;9;8;6;12;10;4;5;11;6;9;5;Stafford and Surrounds
01W;Greater Manchester;Stockport;13;14;12;14;19;23;20;20;16;12;17;9;15;Stockport
05W;West Midlands;Stoke On Trent;24;24;18;23;22;21;22;22;16;18;19;15;12;Stoke On Trent
;;;;;;;;;;;;;;;;
00P;North East;Sunderland;21;19;27;22;14;22;13;21;23;23;19;20;19;Sunderland
99H;Kent, Surrey and Sussex;Surrey Downs;19;13;15;23;11;12;14;17;11;16;16;21;7;Surrey Downs
10C;Kent, Surrey and Sussex;Surrey Heath;7;6;6;10;4;7;9;7;4;1;7;7;4;Surrey Heath
08T;London;Sutton;14;7;15;16;7;8;13;8;4;11;9;8;16;Sutton
10D;Kent, Surrey and Sussex;Swale;11;1;8;7;9;6;11;8;3;1;8;5;9;Swale
;;;;;;;;;;;;;;;;
12D;Avon, Gloucestershire and Wiltshire;Swindon;11;11;15;12;9;14;9;11;7;7;10;10;13;Swindon
01Y;Greater Manchester;Tameside and Glossop;10;14;13;11;16;16;15;21;14;15;10;8;15;Tameside and Glossop
05X;West Midlands;Telford and Wrekin;4;13;5;10;10;7;12;9;6;10;7;7;8;Telford and Wrekin
10E;Kent, Surrey and Sussex;Thanet;8;4;8;8;14;6;6;10;12;10;7;6;14;Thanet
07G;Anglia and Essex;Thurrock;10;5;5;7;8;10;10;7;5;5;7;4;3;Thurrock
;;;;;;;;;;;;;;;;
08V;London;Tower Hamlets;17;9;19;17;18;18;18;15;14;10;16;14;18;Tower Hamlets
02A;Greater Manchester;Trafford;13;18;11;17;11;8;6;14;8;15;8;5;18;Trafford
03Q;Yorkshire and Humber;Vale of York;21;32;24;17;12;29;29;19;23;39;23;14;19;Vale of York
02D;Cheshire and Merseyside;Vale Royal;3;6;11;3;7;8;2;1;4;3;2;6;8;Vale Royal
03R;Yorkshire and Humber;Wakefield;17;19;22;23;18;28;30;17;21;23;20;12;9;Wakefield
;;;;;;;;;;;;;;;;
05Y;West Midlands;Walsall;15;12;13;11;12;19;11;14;12;11;12;20;11;Walsall
08W;London;Waltham Forest;13;8;15;5;18;16;13;14;11;11;11;12;17;Waltham Forest
