Title:;Monthly counts of E. coli bacteraemia by CCG;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Reporting Period:;March 2016 to March 2017;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
No. of months:;13;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Publication date:;Wednesday, May 03, 2017;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
CCG Code;PHE Centre;CCG Name;March 2016;April 2016;May 2016;June 2016;July 2016;August 2016;September 2016;October 2016;November 2016;December 2016;January 2017;February 2017;March 2017;CCG Name
;;Totals; 3 231 ; 3 058 ; 3 370 ; 3 412 ; 3 644 ; 3 761 ; 3 476 ; 3 532 ; 3 323 ; 3 271 ; 3 168 ; 3 091 ; 3 336 ;Totals
;;;;;;;;;;;;;;;;
02N;Yorkshire and Humber;Airedale, Wharfedale and Craven;7;11;7;9;8;6;11;13;4;14;9;10;14;Airedale, Wharfedale and Craven
09C;South East;Ashford;5;5;6;7;11;4;6;9;7;8;6;5;8;Ashford
10Y;South East;Aylesbury Vale;11;15;4;15;14;13;14;13;13;14;6;14;12;Aylesbury Vale
07L;London;Barking and Dagenham;7;8;8;13;11;8;13;14;13;9;7;9;9;Barking and Dagenham
07M;London;Barnet;20;21;19;26;20;20;20;34;21;22;15;15;23;Barnet
02P;Yorkshire and Humber;Barnsley;21;21;19;18;22;31;17;20;15;22;19;17;18;Barnsley
99E;East of England;Basildon and Brentwood;9;14;17;16;20;20;21;19;21;15;11;15;20;Basildon and Brentwood
02Q;East Midlands;Bassetlaw;11;3;6;5;11;3;13;8;7;11;6;7;4;Bassetlaw
11E;South West;Bath and North East Somerset;13;5;8;8;7;13;17;10;11;14;13;7;10;Bath and North East Somerset
06F;East of England;Bedfordshire;17;21;17;13;18;27;16;24;26;33;26;25;25;Bedfordshire
07N;London;Bexley;17;12;13;14;8;18;15;15;19;19;6;6;17;Bexley
13P;West Midlands;Birmingham Crosscity;44;44;43;44;48;41;35;24;43;26;49;39;39;Birmingham Crosscity
04X;West Midlands;Birmingham South and Central;13;11;15;19;16;15;17;11;17;15;10;15;17;Birmingham South and Central
00Q;North West;Blackburn With Darwen;13;13;13;13;13;24;14;10;12;12;14;20;17;Blackburn With Darwen
00R;North West;Blackpool;14;12;20;13;9;8;11;10;16;13;13;14;18;Blackpool
00T;North West;Bolton;21;12;27;20;25;20;13;22;17;22;17;19;24;Bolton
10G;South East;Bracknell and Ascot;5;4;2;5;7;4;8;7;6;5;7;8;7;Bracknell and Ascot
02W;Yorkshire and Humber;Bradford City;3;2;10;6;7;6;6;2;7;6;6;7;2;Bradford City
02R;Yorkshire and Humber;Bradford Districts;18;12;25;26;22;40;18;14;23;15;12;10;15;Bradford Districts
07P;London;Brent;15;14;21;28;19;15;21;18;20;14;12;21;13;Brent
09D;South East;Brighton and Hove;16;12;14;12;12;11;15;12;6;14;10;13;13;Brighton and Hove
11H;South West;Bristol;17;18;22;30;25;24;18;14;24;19;32;18;22;Bristol
07Q;London;Bromley;12;12;12;21;13;19;21;12;22;9;15;16;12;Bromley
