Title:;ARCHIVE Financial Year - Monthly counts of E. coli bacteraemia by CCG;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Reporting Period:;April 2017 to March 2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. of months:;12 months;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Publication date:;May 2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
CCG Code;PHE Centre;CCG Name;April 2017;May 2017;June 2017;July 2017;August 2017;September 2017;October 2017;November 2017;December 2017;January 2018;February 2018;March 2018;CCG Name
;;Totals;3292;3395;3508;3730;3789;3534;3599;3447;3247;3226;2994;3299;Totals
;;;;;;;;;;;;;;;
02N;Yorkshire and Humber;Airedale Wharfedale and Craven;9;10;11;8;9;7;10;9;10;11;6;11; Airedale Wharfedale and Craven
09C;South East;Ashford;9;9;9;6;10;7;6;8;9;4;9;7; Ashford
10Y;South East;Aylesbury Vale;10;6;8;11;12;12;11;15;10;12;12;8; Aylesbury Vale
07L;London;Barking and Dagenham;10;13;13;7;10;14;16;10;8;13;7;13; Barking and Dagenham
07M;London;Barnet;19;17;17;22;16;32;24;25;21;21;22;18; Barnet
02P;Yorkshire and Humber;Barnsley;14;15;16;19;12;18;18;16;17;17;21;14; Barnsley
99E;East of England;Basildon and Brentwood;15;18;16;10;15;19;22;16;21;8;12;16; Basildon and Brentwood
02Q;East Midlands;Bassetlaw;4;11;4;11;8;8;4;7;6;9;6;9; Bassetlaw
11E;South West;Bath and North East Somerset;11;5;17;11;11;9;9;8;12;12;9;6; Bath and North East Somerset
06F;East of England;Bedfordshire;23;19;22;20;31;17;30;18;26;19;28;32; Bedfordshire
07N;London;Bexley;10;9;13;14;18;14;13;16;8;15;13;14; Bexley
13P;West Midlands;Birmingham Crosscity;46;44;41;42;43;39;41;42;36;39;30;47; Birmingham Crosscity
04X;West Midlands;Birmingham South and Central;7;13;10;9;14;13;20;13;10;20;11;15; Birmingham South and Central
00Q;North West;Blackburn with Darwen;14;10;7;16;15;11;10;12;13;7;6;13; Blackburn with Darwen
00R;North West;Blackpool;10;13;14;20;8;14;16;13;11;12;5;11; Blackpool
00T;North West;Bolton;20;18;18;24;24;21;21;20;21;23;19;18; Bolton
10G;South East;Bracknell and Ascot;4;5;10;8;9;10;7;11;9;12;2;6; Bracknell and Ascot
02W;Yorkshire and Humber;Bradford City;6;2;8;6;6;4;1;10;7;3;10;11; Bradford City
02R;Yorkshire and Humber;Bradford Districts;10;17;16;17;19;25;21;13;17;23;18;24; Bradford Districts
07P;London;Brent;16;10;15;16;18;19;20;14;19;19;16;21; Brent
09D;South East;Brighton and Hove;14;17;16;15;21;13;10;10;14;11;7;15; Brighton and Hove
11H;South West;Bristol;30;29;26;29;26;21;23;26;26;18;16;19; Bristol
07Q;London;Bromley;19;14;18;13;17;13;8;17;15;15;10;14; Bromley
00V;North West;Bury;9;9;5;10;14;10;11;7;2;8;9;8; Bury
02T;Yorkshire and Humber;Calderdale;9;14;15;20;16;15;11;13;14;12;10;11; Calderdale
06H;East of England;Cambridgeshire and Peterborough;46;35;47;54;53;53;49;46;38;49;38;49; Cambridgeshire and Peterborough
07R;London;Camden;16;18;13;19;17;19;16;13;17;16;14;19; Camden
