"Year","Period","Org Name","Avaliable Total","Occupied Total","% Occupied Total"
"2014","Q1","England",135754.050549451,117510.318857143,86.5611879583202
"2014","Q2","England",134752.684782609,116300.4288665,86.306576417474
"2014","Q3","England",134572.5,117827.082442109,87.556582839814
"2014","Q4","England",136946.255555556,121201.990555556,88.5033256760985
"2015","Q1","England",131812.21978022,114509.432967033,86.8731542173881
"2015","Q2","England",130618.608695652,112009.508695652,85.7531019616354
"2015","Q3","England",130297.736956522,113668.1,87.2372020075293
"2015","Q4","England",131561.131868132,117125.152747253,89.0271701710891
"2016","Q1","England",131282.307692308,115842.215384615,88.2390151581735
"2016","Q2","England",129972.434782609,113798.445652174,87.5558312364561
"2016","Q3","England",129557.206521739,114438.397826087,88.3303992872713
"2016","Q4","England",131016.133333333,116545.055555556,88.9547360240283
"2017","Q1","England",130296.967032967,113618.172527473,87.1924977064267
"2017","Q2","England",128139.239130435,111687.779765869,87.1387143354014
"2017","Q3","England",128288.913043478,113328.411956522,88.3384302415235
"2017","Q4","England",130193.911111111,117144,89.9765580435064
"2018","Q1","England",128588.989010989,112886.989010989,87.7890011261709
"2018","Q2","England",127378.347826087,111004.141304348,87.1452198892584
"2018","Q3","England",127570.608695652,112208.902173913,87.9582713614013
"2018","Q4","England",129992.255555556,115874.366666667,89.1394384776597
"2019","Q1","England",128406.824175824,113261.846153846,88.2054726303016
"2019","Q2","England",127186,111938.065217391,88.0113103780222
"2019","Q3","England",128325.967391304,114757.184782609,89.426315745339
"2019","Q4","England",128943.186813187,111321.280763193,86.333588857607
"2020","Q1","England",118473.428571429,76641.1538461538,64.6905848596643
"2020","Q2","England",120791.445652174,93090.6195652173,77.0672286125933
"2020","Q3","England",121487.423913043,98597.1847826087,81.1583467710873
"2020","Q4","England",122269.211111111,98927.2555555555,80.9093758408699
"2021","Q1","England",123921.945054945,103804.065934066,83.7656848333367
"2021","Q2","England",124878.336956522,107068.706521739,85.7384147892814
"2021","Q3","England",126668.923913044,109451.086956522,86.4072130522388
"2021","Q4","England",128657.366666667,111943.577777778,87.0090696538255
"2022","Q1","England",129574.89010989,113735.714285714,87.7760453350623
"2022","Q2","England",128743.25,113513.673913044,88.1705828562223
"2022","Q3","England",129850.782608696,116499.858695652,89.7182568754504
"2022","Q4","England",130863.066666667,117597.533333333,89.8630425900662
"2023","Q1","England",130048.461538462,115244.824175824,88.6168300743341
"2023","Q2","England",129009.826086957,113493.076086957,87.9724277827169
"2023","Q3","England",130531.347826087,116852,89.5202585019557
"2023","Q4","England",132520.233821734,119634.891452992,90.2766981334521
"2024","Q1","England",131874.681318681,117314.967032967,88.9594316815598
"2024","Q2","England",129759.75,114639.684782609,88.3476461557677
