source_file,Type,NHS_area_code,ONS_code,Name,Count_gp_appointments,Attended,Did_not_attend,Unknown,Month,Year
1,ICB,QE1,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,798 748,723 014,38 574,37 160,August,2023
1,ICB,QF7,E54000061,NHS South Yorkshire Integrated Care Board,743 018,668 778,30 152,44 088,August,2023
1,ICB,QGH,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,444 875,410 263,16 903,17 709,August,2023
1,ICB,QH8,E54000026,NHS Mid and South Essex Integrated Care Board,541 657,493 883,15 709,32 065,August,2023
1,ICB,QHG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",452 475,405 568,20 305,26 602,August,2023
1,ICB,QHL,E54000055,NHS Birmingham and Solihull Integrated Care Board,715 173,636 931,43 374,34 868,August,2023
1,ICB,QHM,E54000050,NHS North East and North Cumbria Integrated Care Board,1 566 159,1 414 958,68 439,82 762,August,2023
1,ICB,QJ2,E54000058,NHS Derby and Derbyshire Integrated Care Board,549 860,502 222,18 434,29 204,August,2023
1,ICB,QJG,E54000023,NHS Suffolk and North East Essex Integrated Care Board,498 066,457 634,15 307,25 125,August,2023
1,ICB,QJK,E54000037,NHS Devon Integrated Care Board,713 497,653 139,23 304,37 054,August,2023
1,ICB,QJM,E54000013,NHS Lincolnshire Integrated Care Board,425 635,389 310,14 200,22 125,August,2023
1,ICB,QK1,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",610 850,552 117,23 445,35 288,August,2023
1,ICB,QKK,E54000030,NHS South East London Integrated Care Board,705 931,629 308,43 150,33 473,August,2023
1,ICB,QKS,E54000032,NHS Kent and Medway Integrated Care Board,867 430,781 910,37 900,47 620,August,2023
1,ICB,QM7,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,654 484,595 319,23 635,35 530,August,2023
1,ICB,QMF,E54000029,NHS North East London Integrated Care Board,929 151,821 109,59 699,48 343,August,2023
1,ICB,QMJ,E54000028,NHS North Central London Integrated Care Board,627 875,562 789,35 783,29 303,August,2023
1,ICB,QMM,E54000022,NHS Norfolk and Waveney Integrated Care Board,585 417,530 196,21 191,34 030,August,2023
1,ICB,QNC,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,506 811,459 349,21 830,25 632,August,2023
1,ICB,QNQ,E54000034,NHS Frimley Integrated Care Board,361 300,328 001,18 858,14 441,August,2023
1,ICB,QNX,E54000053,NHS Sussex Integrated Care Board,866 792,791 617,30 478,44 697,August,2023
1,ICB,QOC,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",234 673,216 055,8 875,9 743,August,2023
1,ICB,QOP,E54000057,NHS Greater Manchester Integrated Care Board,1 314 246,1 169 014,79 052,66 180,August,2023
1,ICB,QOQ,E54000051,NHS Humber and North Yorkshire Integrated Care Board,895 536,822 651,28 996,43 889,August,2023
