source_file,Type,NHS_area_code,ONS_code,Name,Count_gp_appointments,Attended,Did_not_attend,Unknown,Month
1,National,ENG,ENG,England,30 380 865,27 451 822,1 277 280,1 651 763,April
1,Region,Y56,E40000003,London,4 441 911,3 958 844,248 406,234 661,April
1,Region,Y58,E40000006,South West,3 351 576,3 056 879,117 130,177 567,April
1,Region,Y59,E40000005,South East,4 623 722,4 168 570,180 939,274 213,April
1,Region,Y60,E40000011,Midlands,5 917 355,5 359 078,244 409,313 868,April
1,Region,Y61,E40000007,East of England,3 508 657,3 186 555,121 463,200 639,April
1,Region,Y62,E40000010,North West,3 610 570,3 245 168,180 015,185 387,April
1,Region,Y63,E40000012,North East and Yorkshire,4 927 074,4 476 728,184 918,265 428,April
1,ICB,QE1,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,834 346,752 644,39 093,42 609,April
1,ICB,QF7,E54000061,NHS South Yorkshire Integrated Care Board,802 091,717 544,32 216,52 331,April
1,ICB,QGH,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,471 533,433 812,16 912,20 809,April
1,ICB,QH8,E54000026,NHS Mid and South Essex Integrated Care Board,570 991,519 365,17 600,34 026,April
1,ICB,QHG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",476 486,428 144,20 294,28 048,April
1,ICB,QHL,E54000055,NHS Birmingham and Solihull Integrated Care Board,752 601,669 540,44 670,38 391,April
1,ICB,QHM,E54000050,NHS North East and North Cumbria Integrated Care Board,1 697 456,1 539 994,68 701,88 761,April
1,ICB,QJ2,E54000058,NHS Derby and Derbyshire Integrated Care Board,578 772,528 087,18 655,32 030,April
1,ICB,QJG,E54000023,NHS Suffolk and North East Essex Integrated Care Board,590 736,548 835,15 710,26 191,April
1,ICB,QJK,E54000037,NHS Devon Integrated Care Board,759 664,689 534,24 211,45 919,April
1,ICB,QJM,E54000013,NHS Lincolnshire Integrated Care Board,523 897,483 707,14 793,25 397,April
1,ICB,QK1,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",641 285,580 933,23 770,36 582,April
1,ICB,QKK,E54000030,NHS South East London Integrated Care Board,743 642,656 133,46 418,41 091,April
1,ICB,QKS,E54000032,NHS Kent and Medway Integrated Care Board,924 789,829 106,37 313,58 370,April
1,ICB,QM7,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,698 881,632 875,27 132,38 874,April
1,ICB,QMF,E54000029,NHS North East London Integrated Care Board,995 766,881 622,62 251,51 893,April
1,ICB,QMJ,E54000028,NHS North Central London Integrated Care Board,674 180,605 520,37 172,31 488,April
1,ICB,QMM,E54000022,NHS Norfolk and Waveney Integrated Care Board,612 444,554 179,21 662,36 603,April
1,ICB,QNC,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,546 734,489 324,23 060,34 350,April
