YEAR_MONTH,ICB_CODE,UNIQUE_PATIENTS,TOTAL_PRESCRIPTIONS
201504,Q44,1378,1625
201504,Q45,6856,7879
201504,Q46,3,3
201504,Q50,1807,2157
201504,Q52,2316,2823
201504,Q53,2207,2559
201504,Q54,2746,3397
201504,Q55,5118,6146
201504,Q56,2769,3273
201504,Q58,987,1162
201504,Q59,3044,3706
201504,Q61,2710,3048
201504,Q63,7415,9416
201504,Q64,3296,3833
201504,Q65,2004,2445
201504,Q66,3970,4828
201504,Q67,5137,6030
201504,Q68,6263,7385
201504,Q69,897,1088
201504,Q99,470,953
201504,QE1,79563,90950
201504,QF7,65696,75706
201504,QGH,32517,37912
201504,QH8,51926,60775
201504,QHG,41247,47371
201504,QHL,53508,62454
201504,QHM,137980,169379
201504,QJ2,40979,46781
201504,QJG,45366,54139
201504,QJK,44397,55151
201504,QJM,34609,40369
201504,QK1,42644,49935
201504,QKK,57427,65569
201504,QKS,76423,89843
201504,QM7,62845,73246
201504,QMF,67009,77370
201504,QMJ,44172,50611
201504,QMM,43358,51885
201504,QNC,52072,60067
201504,QNQ,31163,35424
201504,QNX,65492,76592
201504,QOC,20826,24206
201504,QOP,129231,152010
201504,QOQ,72422,85713
201504,QOX,33704,39960
201504,QPM,32956,37721
201504,QR1,26352,31341
201504,QRL,70057,82416
201504,QRV,70686,82470
201504,QSL,23445,28362
201504,QT1,43350,52291
201504,QT6,20692,29954
201504,QU9,66054,76433
201504,QUA,53264,63046
201504,QUE,37945,45373
201504,QUY,35201,41738
201504,QVV,33327,40279
201504,QWE,51074,61441
201504,QWO,106623,124093
201504,QWU,40515,46381
201504,QXU,39320,46894
201504,QYG,117600,135782
201505,Q44,1252,1493
201505,Q45,6283,7157
201505,Q50,1436,1740
201505,Q52,2132,2564
201505,Q53,2106,2474
201505,Q54,1728,2110
201505,Q55,4716,5656
201505,Q56,2568,3004
201505,Q58,897,1052
201505,Q59,2959,3521
201505,Q61,2403,2744
201505,Q63,6772,8148
201505,Q64,3071,3615
201505,Q65,1880,2160
201505,Q66,3895,4850
201505,Q67,4551,5564
201505,Q68,5571,6616
201505,Q69,907,1073
201505,Q99,500,974
201505,QE1,74351,85046
201505,QF7,59362,68640
201505,QGH,29185,34582
201505,QH8,47732,56106
201505,QHG,38569,43945
201505,QHL,51448,59833
201505,QHM,127695,155999
201505,QJ2,37559,43131
201505,QJG,42297,50312
201505,QJK,40905,50935
201505,QJM,31291,36519
201505,QK1,40223,47034
201505,QKK,52790,60762
201505,QKS,68784,81204
201505,QM7,56968,66200
201505,QMF,62025,71848
201505,QMJ,40627,46645
201505,QMM,40676,48189
201505,QNC,48100,55638
201505,QNQ,28650,32881
201505,QNX,60669,71072
201505,QOC,19150,22332
201505,QOP,117922,138589
201505,QOQ,66868,79312
201505,QOX,31235,37503
201505,QPM,30752,34897
201505,QR1,24322,29143
201505,QRL,64547,76637
201505,QRV,64266,75363
201505,QSL,21772,26308
201505,QT1,40115,48464
201505,QT6,18895,27650
201505,QU9,61431,71425
201505,QUA,49584,58675
201505,QUE,35131,41921
201505,QUY,32774,38620
201505,QVV,30898,37476
201505,QWE,46828,55913
201505,QWO,97024,113085
201505,QWU,37178,42525
201505,QXU,35908,42315
201505,QYG,107106,123813
201506,Q44,1057,1312
201506,Q45,5784,6673
201506,Q46,12,12
201506,Q50,1563,1810
201506,Q52,2229,2691
201506,Q53,2079,2584
201506,Q54,1727,2084
201506,Q55,3816,4711
201506,Q56,2462,2906
201506,Q58,969,1128
201506,Q59,2902,3446
201506,Q61,2567,2890
201506,Q63,6997,8323
201506,Q64,3142,3753
201506,Q65,1779,2050
201506,Q66,3704,4681
201506,Q67,4662,5574
201506,Q68,5483,6595
201506,Q69,872,1025
201506,Q99,565,1006
201506,QE1,75125,86005
201506,QF7,60604,70112
201506,QGH,30239,35827
201506,QH8,48203,56473
201506,QHG,39172,44781
201506,QHL,52320,60676
201506,QHM,130299,160352
201506,QJ2,39119,45241
201506,QJG,41851,50204
201506,QJK,42477,53105
201506,QJM,32153,37566
201506,QK1,40842,48014
201506,QKK,54672,62869
201506,QKS,71548,84536
201506,QM7,58943,68460
201506,QMF,63023,73232
201506,QMJ,41779,48039
201506,QMM,41980,49693
201506,QNC,49673,57184
201506,QNQ,28819,33095
201506,QNX,61861,72589
201506,QOC,19821,23208
201506,QOP,121104,142453
201506,QOQ,67576,80333
201506,QOX,32064,37990
201506,QPM,31889,36642
201506,QR1,25216,29922
201506,QRL,66989,79402
201506,QRV,65703,77019
201506,QSL,22047,26617
201506,QT1,41666,50434
201506,QT6,19199,27661
201506,QU9,63703,74283
201506,QUA,50507,59709
201506,QUE,36086,43143
201506,QUY,34049,39995
201506,QVV,31316,37830
201506,QWE,48155,57044
201506,QWO,99545,116828
201506,QWU,37725,43780
201506,QXU,37289,43929
201506,QYG,111259,128564
201507,Q44,1007,1190
201507,Q45,6119,7086
201507,Q50,1567,1824
201507,Q52,2213,2643
201507,Q53,2079,2587
201507,Q54,1670,2068
201507,Q55,3975,4829
201507,Q56,2489,2975
201507,Q58,875,1080
201507,Q59,3012,3591
201507,Q61,2076,2417
201507,Q63,6601,7892
201507,Q64,2972,3519
201507,Q65,1631,1872
201507,Q66,3768,4720
201507,Q67,4556,5439
201507,Q68,4903,5908
201507,Q69,878,1076
201507,Q99,626,869
201507,QE1,76009,87327
201507,QF7,59632,69437
201507,QGH,30251,36010
201507,QH8,49120,58420
201507,QHG,39537,45516
201507,QHL,50685,59174
201507,QHM,128859,159530
201507,QJ2,40091,46071
201507,QJG,42806,51024
201507,QJK,41665,52127
201507,QJM,31940,37704
201507,QK1,39507,46914
201507,QKK,53805,62845
201507,QKS,71157,84759
201507,QM7,58064,67801
201507,QMF,61956,72293
201507,QMJ,42235,48822
201507,QMM,41914,49907
201507,QNC,49745,57803
201507,QNQ,28676,33945
201507,QNX,62550,73625
201507,QOC,19343,22755
201507,QOP,119920,142503
201507,QOQ,67306,80353
201507,QOX,31816,38157
201507,QPM,31511,36482
201507,QR1,25619,30352
201507,QRL,67037,79429
201507,QRV,64384,76014
201507,QSL,21908,26571
201507,QT1,41158,50005
201507,QT6,19588,28809
201507,QU9,63114,73759
201507,QUA,50414,59918
201507,QUE,36033,43417
201507,QUY,33941,39848
201507,QVV,30684,37317
201507,QWE,47136,56363
201507,QWO,99099,116568
201507,QWU,37905,43924
201507,QXU,37694,44261
201507,QYG,111162,128572
201508,Q44,945,1123
201508,Q45,5417,6250
201508,Q50,1465,1681
201508,Q52,1939,2327
201508,Q53,1962,2336
201508,Q54,479,518
201508,Q55,3259,4105
201508,Q56,2314,2736
201508,Q58,852,1040
201508,Q59,2549,3076
201508,Q61,1654,1863
201508,Q63,5801,6957
201508,Q64,2713,3268
201508,Q65,1544,1749
201508,Q66,3208,4032
201508,Q67,3902,4648
201508,Q68,4553,5420
201508,Q69,766,945
201508,Q99,569,1013
201508,QE1,65482,74817
201508,QF7,51671,59595
201508,QGH,26182,31256
201508,QH8,41995,49550
201508,QHG,34133,39139
201508,QHL,44025,51199
201508,QHM,112076,137694
201508,QJ2,34536,39859
201508,QJG,37602,44494
201508,QJK,37935,47426
201508,QJM,28410,33493
201508,QK1,34468,40503
201508,QKK,45788,52762
201508,QKS,62837,74128
201508,QM7,51061,59374
201508,QMF,52140,60813
201508,QMJ,35271,40858
201508,QMM,37733,44742
201508,QNC,42076,48742
201508,QNQ,24752,28651
201508,QNX,56223,65810
201508,QOC,17105,19920
201508,QOP,104006,121946
201508,QOQ,58479,69731
201508,QOX,28004,33338
201508,QPM,27467,31402
201508,QR1,21876,25841
201508,QRL,59023,69557
201508,QRV,54140,63751
201508,QSL,19881,23856
201508,QT1,35680,43173
201508,QT6,17764,25846
201508,QU9,55482,64564
201508,QUA,43708,51513
